outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,positive_count,positive_yield
1,10,static_easy_entropy,205,batch,False,False,5,5,1.0
1,10,static_easy_entropy,205,cumulative,False,False,195,124,0.6358974358974359
1,10,static_easy_entropy,210,batch,False,False,5,4,0.8
1,10,static_easy_entropy,210,cumulative,False,False,200,128,0.64
1,10,static_easy_entropy,215,batch,False,False,5,5,1.0
1,10,static_easy_entropy,215,cumulative,False,False,205,133,0.6487804878048781
1,10,static_easy_entropy,220,batch,False,False,5,5,1.0
1,10,static_easy_entropy,220,cumulative,False,False,210,138,0.6571428571428571
1,10,static_easy_entropy,225,batch,False,False,5,4,0.8
1,10,static_easy_entropy,225,cumulative,False,False,215,142,0.6604651162790698
1,10,static_easy_entropy,230,batch,False,False,5,5,1.0
1,10,static_easy_entropy,230,cumulative,False,False,220,147,0.6681818181818182
1,10,static_easy_entropy,235,batch,False,True,5,5,1.0
1,10,static_easy_entropy,235,cumulative,False,True,225,152,0.6755555555555556
2,10,predictive_entropy,15,batch,False,False,5,4,0.8
2,10,predictive_entropy,15,cumulative,False,False,5,4,0.8
2,10,predictive_entropy,20,batch,False,False,5,2,0.4
2,10,predictive_entropy,20,cumulative,False,False,10,6,0.6
2,10,predictive_entropy,25,batch,False,False,5,4,0.8
2,10,predictive_entropy,25,cumulative,False,False,15,10,0.6666666666666666
2,10,predictive_entropy,30,batch,False,False,5,4,0.8
2,10,predictive_entropy,30,cumulative,False,False,20,14,0.7
2,10,predictive_entropy,35,batch,False,False,5,1,0.2
2,10,predictive_entropy,35,cumulative,False,False,25,15,0.6
2,10,predictive_entropy,40,batch,False,False,5,2,0.4
2,10,predictive_entropy,40,cumulative,False,False,30,17,0.5666666666666667
2,10,predictive_entropy,45,batch,False,False,5,4,0.8
2,10,predictive_entropy,45,cumulative,False,False,35,21,0.6
2,10,predictive_entropy,50,batch,False,False,5,3,0.6
2,10,predictive_entropy,50,cumulative,False,False,40,24,0.6
2,10,predictive_entropy,55,batch,False,False,5,2,0.4
2,10,predictive_entropy,55,cumulative,False,False,45,26,0.5777777777777777
2,10,predictive_entropy,60,batch,True,False,5,4,0.8
2,10,predictive_entropy,60,cumulative,True,False,50,30,0.6
2,10,predictive_entropy,65,batch,False,False,5,4,0.8
2,10,predictive_entropy,65,cumulative,False,False,55,34,0.6181818181818182
2,10,predictive_entropy,70,batch,False,False,5,2,0.4
2,10,predictive_entropy,70,cumulative,False,False,60,36,0.6
2,10,predictive_entropy,75,batch,False,False,5,3,0.6
2,10,predictive_entropy,75,cumulative,False,False,65,39,0.6
2,10,predictive_entropy,80,batch,False,False,5,1,0.2
2,10,predictive_entropy,80,cumulative,False,False,70,40,0.5714285714285714
2,10,predictive_entropy,85,batch,False,False,5,1,0.2
2,10,predictive_entropy,85,cumulative,False,False,75,41,0.5466666666666666
2,10,predictive_entropy,90,batch,False,False,5,3,0.6
2,10,predictive_entropy,90,cumulative,False,False,80,44,0.55
2,10,predictive_entropy,95,batch,False,False,5,2,0.4
2,10,predictive_entropy,95,cumulative,False,False,85,46,0.5411764705882353
2,10,predictive_entropy,100,batch,False,False,5,4,0.8
2,10,predictive_entropy,100,cumulative,False,False,90,50,0.5555555555555556
2,10,predictive_entropy,105,batch,False,False,5,2,0.4
2,10,predictive_entropy,105,cumulative,False,False,95,52,0.5473684210526316
