outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,mean_pairwise_normalized_levenshtein,minimum_pairwise_normalized_levenshtein
1,10,random,160,cumulative,True,False,150,0.8703157771555864,0.0625
1,10,random,165,batch,False,False,5,0.8904761904761904,0.6666666666666666
1,10,random,165,cumulative,False,False,155,0.8707280506715495,0.0625
1,10,random,170,batch,False,False,5,0.8192460317460317,0.3333333333333333
1,10,random,170,cumulative,False,False,160,0.8686045872136985,0.0625
1,10,random,175,batch,False,False,5,0.9047619047619048,0.5555555555555556
1,10,random,175,cumulative,False,False,165,0.8701483398691358,0.0625
1,10,random,180,batch,False,False,5,0.8595238095238095,0.3333333333333333
1,10,random,180,cumulative,False,False,170,0.8684873912570983,0.0625
1,10,random,185,batch,False,False,5,0.94125,0.8
1,10,random,185,cumulative,False,False,175,0.8689758178473501,0.0625
1,10,random,190,batch,False,False,5,0.9133333333333333,0.5
1,10,random,190,cumulative,False,False,180,0.8697671224361904,0.0625
1,10,random,195,batch,False,False,5,0.9055555555555556,0.16666666666666666
1,10,random,195,cumulative,False,False,185,0.8691191957381889,0.0625
1,10,random,200,batch,False,False,5,0.8577777777777778,0.3333333333333333
1,10,random,200,cumulative,False,False,190,0.8681372393112269,0.0625
1,10,random,205,batch,False,False,5,0.9166666666666666,0.6666666666666666
1,10,random,205,cumulative,False,False,195,0.8679929218970915,0.0625
1,10,random,210,batch,False,False,5,0.9483333333333334,0.8333333333333334
1,10,random,210,cumulative,False,False,200,0.8694021492334109,0.0625
1,10,random,215,batch,False,False,5,0.9303571428571429,0.7142857142857143
1,10,random,215,cumulative,False,False,205,0.8708383549924364,0.0625
1,10,random,220,batch,False,False,5,0.9166666666666666,0.6666666666666666
1,10,random,220,cumulative,False,False,210,0.8719614429911404,0.0625
1,10,random,225,batch,False,False,5,0.885,0.6
1,10,random,225,cumulative,False,False,215,0.8724794647318641,0.0625
1,10,random,230,batch,False,False,5,0.7633333333333333,0.3333333333333333
1,10,random,230,cumulative,False,False,220,0.8699612104163293,0.0625
1,10,random,235,batch,False,True,5,0.8914285714285715,0.2
1,10,random,235,cumulative,False,True,225,0.8707393484143954,0.0625
1,10,self_paced_entropy,15,batch,False,False,5,0.2833333333333333,0.16666666666666666
1,10,self_paced_entropy,15,cumulative,False,False,5,0.2833333333333333,0.16666666666666666
1,10,self_paced_entropy,20,batch,False,False,5,0.31666666666666665,0.16666666666666666
1,10,self_paced_entropy,20,cumulative,False,False,10,0.3185185185185185,0.16666666666666666
1,10,self_paced_entropy,25,batch,False,False,5,0.5666666666666667,0.16666666666666666
1,10,self_paced_entropy,25,cumulative,False,False,15,0.40634920634920635,0.16666666666666666
1,10,self_paced_entropy,30,batch,False,False,5,0.3833333333333333,0.3333333333333333
1,10,self_paced_entropy,30,cumulative,False,False,20,0.393859649122807,0.16666666666666666
1,10,self_paced_entropy,35,batch,False,False,5,0.5166666666666667,0.16666666666666666
1,10,self_paced_entropy,35,cumulative,False,False,25,0.41666666666666663,0.16666666666666666
1,10,self_paced_entropy,40,batch,False,False,5,0.6,0.16666666666666666
1,10,self_paced_entropy,40,cumulative,False,False,30,0.44597701149425284,0.16666666666666666
1,10,self_paced_entropy,45,batch,False,False,5,0.79,0.16666666666666666
