outer_fold,initial_label_count,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,strategy_a,strategy_b,jaccard
1,10,45,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,50,batch,False,False,random,random,1.0
1,10,50,batch,False,False,random,predictive_entropy,0.0
1,10,50,batch,False,False,random,static_easy_entropy,0.0
1,10,50,batch,False,False,random,self_paced_entropy,0.0
1,10,50,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,50,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,50,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,50,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,50,batch,False,False,static_easy_entropy,self_paced_entropy,0.1111111111111111
1,10,50,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,50,cumulative,False,False,random,random,1.0
1,10,50,cumulative,False,False,random,predictive_entropy,0.1267605633802817
1,10,50,cumulative,False,False,random,static_easy_entropy,0.1111111111111111
1,10,50,cumulative,False,False,random,self_paced_entropy,0.14285714285714285
1,10,50,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,50,cumulative,False,False,predictive_entropy,static_easy_entropy,0.14285714285714285
1,10,50,cumulative,False,False,predictive_entropy,self_paced_entropy,0.17647058823529413
1,10,50,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,50,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5686274509803921
1,10,50,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,55,batch,False,False,random,random,1.0
1,10,55,batch,False,False,random,predictive_entropy,0.1111111111111111
1,10,55,batch,False,False,random,static_easy_entropy,0.0
1,10,55,batch,False,False,random,self_paced_entropy,0.0
1,10,55,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,55,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,55,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,55,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,55,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,55,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,55,cumulative,False,False,random,random,1.0
1,10,55,cumulative,False,False,random,predictive_entropy,0.13924050632911392
1,10,55,cumulative,False,False,random,static_easy_entropy,0.0975609756097561
1,10,55,cumulative,False,False,random,self_paced_entropy,0.15384615384615385
1,10,55,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,55,cumulative,False,False,predictive_entropy,static_easy_entropy,0.21621621621621623
1,10,55,cumulative,False,False,predictive_entropy,self_paced_entropy,0.2328767123287671
1,10,55,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,55,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5254237288135594
1,10,55,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,60,batch,True,False,random,random,1.0
1,10,60,batch,True,False,random,predictive_entropy,0.0
1,10,60,batch,True,False,random,static_easy_entropy,0.0
1,10,60,batch,True,False,random,self_paced_entropy,0.0
1,10,60,batch,True,False,predictive_entropy,predictive_entropy,1.0
1,10,60,batch,True,False,predictive_entropy,static_easy_entropy,0.0
1,10,60,batch,True,False,predictive_entropy,self_paced_entropy,0.0
1,10,60,batch,True,False,static_easy_entropy,static_easy_entropy,1.0
1,10,60,batch,True,False,static_easy_entropy,self_paced_entropy,0.0
1,10,60,batch,True,False,self_paced_entropy,self_paced_entropy,1.0
1,10,60,cumulative,True,False,random,random,1.0
1,10,60,cumulative,True,False,random,predictive_entropy,0.17647058823529413
1,10,60,cumulative,True,False,random,static_easy_entropy,0.0989010989010989
1,10,60,cumulative,True,False,random,self_paced_entropy,0.16279069767441862
1,10,60,cumulative,True,False,predictive_entropy,predictive_entropy,1.0
1,10,60,cumulative,True,False,predictive_entropy,static_easy_entropy,0.19047619047619047
1,10,60,cumulative,True,False,predictive_entropy,self_paced_entropy,0.2345679012345679
1,10,60,cumulative,True,False,static_easy_entropy,static_easy_entropy,1.0
1,10,60,cumulative,True,False,static_easy_entropy,self_paced_entropy,0.5625
1,10,60,cumulative,True,False,self_paced_entropy,self_paced_entropy,1.0
1,10,65,batch,False,False,random,random,1.0
1,10,65,batch,False,False,random,predictive_entropy,0.1111111111111111
1,10,65,batch,False,False,random,static_easy_entropy,0.0
1,10,65,batch,False,False,random,self_paced_entropy,0.0
1,10,65,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,65,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,65,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,65,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,65,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,65,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,65,cumulative,False,False,random,random,1.0
1,10,65,cumulative,False,False,random,predictive_entropy,0.1827956989247312
1,10,65,cumulative,False,False,random,static_easy_entropy,0.12244897959183673
1,10,65,cumulative,False,False,random,self_paced_entropy,0.14583333333333334
1,10,65,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,65,cumulative,False,False,predictive_entropy,static_easy_entropy,0.25
1,10,65,cumulative,False,False,predictive_entropy,self_paced_entropy,0.26436781609195403
1,10,65,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,65,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5714285714285714
1,10,65,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,70,batch,False,False,random,random,1.0
1,10,70,batch,False,False,random,predictive_entropy,0.0
1,10,70,batch,False,False,random,static_easy_entropy,0.0
1,10,70,batch,False,False,random,self_paced_entropy,0.0
1,10,70,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,70,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,70,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,70,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,70,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,70,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,70,cumulative,False,False,random,random,1.0
1,10,70,cumulative,False,False,random,predictive_entropy,0.1650485436893204
1,10,70,cumulative,False,False,random,static_easy_entropy,0.1650485436893204
1,10,70,cumulative,False,False,random,self_paced_entropy,0.14285714285714285
1,10,70,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,70,cumulative,False,False,predictive_entropy,static_easy_entropy,0.2631578947368421
1,10,70,cumulative,False,False,predictive_entropy,self_paced_entropy,0.2765957446808511
1,10,70,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,70,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.6216216216216216
1,10,70,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,75,batch,False,False,random,random,1.0
1,10,75,batch,False,False,random,predictive_entropy,0.0
1,10,75,batch,False,False,random,static_easy_entropy,0.1111111111111111
1,10,75,batch,False,False,random,self_paced_entropy,0.1111111111111111
1,10,75,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,75,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,75,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,75,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,75,batch,False,False,static_easy_entropy,self_paced_entropy,0.1111111111111111
1,10,75,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,75,cumulative,False,False,random,random,1.0
1,10,75,cumulative,False,False,random,predictive_entropy,0.16071428571428573
1,10,75,cumulative,False,False,random,static_easy_entropy,0.17117117117117117
1,10,75,cumulative,False,False,random,self_paced_entropy,0.16071428571428573
1,10,75,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,75,cumulative,False,False,predictive_entropy,static_easy_entropy,0.2871287128712871
1,10,75,cumulative,False,False,predictive_entropy,self_paced_entropy,0.3
1,10,75,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,75,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.6666666666666666
1,10,75,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,80,batch,False,False,random,random,1.0
1,10,80,batch,False,False,random,predictive_entropy,0.0
1,10,80,batch,False,False,random,static_easy_entropy,0.0
1,10,80,batch,False,False,random,self_paced_entropy,0.0
1,10,80,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,80,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,80,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,80,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,80,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,80,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,80,cumulative,False,False,random,random,1.0
1,10,80,cumulative,False,False,random,predictive_entropy,0.20689655172413793
1,10,80,cumulative,False,False,random,static_easy_entropy,0.1864406779661017
1,10,80,cumulative,False,False,random,self_paced_entropy,0.20689655172413793
1,10,80,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,80,cumulative,False,False,predictive_entropy,static_easy_entropy,0.28440366972477066
1,10,80,cumulative,False,False,predictive_entropy,self_paced_entropy,0.308411214953271
1,10,80,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,80,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.6091954022988506
1,10,80,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,85,batch,False,False,random,random,1.0
1,10,85,batch,False,False,random,predictive_entropy,0.1111111111111111
1,10,85,batch,False,False,random,static_easy_entropy,0.0
1,10,85,batch,False,False,random,self_paced_entropy,0.0
1,10,85,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,85,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,85,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,85,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,85,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,85,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,85,cumulative,False,False,random,random,1.0
1,10,85,cumulative,False,False,random,predictive_entropy,0.2396694214876033
1,10,85,cumulative,False,False,random,static_easy_entropy,0.21951219512195122
1,10,85,cumulative,False,False,random,self_paced_entropy,0.22950819672131148
1,10,85,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,85,cumulative,False,False,predictive_entropy,static_easy_entropy,0.3157894736842105
1,10,85,cumulative,False,False,predictive_entropy,self_paced_entropy,0.3274336283185841
1,10,85,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,85,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5625
