mode,setup,outer_fold_id,inner_fold_id,initial_label_count,strategy,round_id,replay_point,labeled_count,evaluation_dataset,accuracy,precision,recall,f1,balanced_accuracy,gmean,roc_auc,pr_auc,brier_score,log_loss,ece_10,mce_10,decision_threshold,threshold_strategy,threshold_selection_f1,threshold_source,accuracy_fixed_0_5,precision_fixed_0_5,recall_fixed_0_5,f1_fixed_0_5,balanced_accuracy_fixed_0_5,gmean_fixed_0_5,outer_fold
phase5,single_calibrated,1,1,10,self_paced_entropy,28,28,150,holdout,0.7702702702702703,0.8113207547169812,0.86,0.8349514563106797,0.7216666666666667,0.7082843120291926,0.805,0.9043895594701205,0.1678927969576891,0.5023480823715538,0.06689908463625699,0.17740788109937586,0.5132231134118102,pr_best_f1,0.8349514563106797,validation,0.7567567567567568,0.7962962962962963,0.86,0.826923076923077,0.7008333333333333,0.6825198409814424,1
phase5,single_calibrated,1,1,10,self_paced_entropy,29,29,155,validation,0.847457627118644,0.8780487804878049,0.9,0.888888888888889,0.8184210526315789,0.8143450710459553,0.8710526315789474,0.9258953916233766,0.12780340567327442,0.41213277908580687,0.04642175957995065,0.5681831245974328,0.5775786480625392,pr_best_f1,0.888888888888889,validation,0.8135593220338984,0.8372093023255814,0.9,0.8674698795180723,0.7657894736842106,0.7539370349250519,1
phase5,single_calibrated,1,1,10,self_paced_entropy,29,29,155,holdout,0.7162162162162162,0.8222222222222222,0.74,0.7789473684210526,0.7033333333333334,0.7023769168568492,0.7825,0.8744033328605979,0.17943583527724397,0.5370400443670902,0.1432112328473458,0.5227075206440908,0.5775786480625392,pr_best_f1,0.7789473684210526,validation,0.7702702702702703,0.8235294117647058,0.84,0.8316831683168315,0.7324999999999999,0.724568837309472,1
phase5,single_calibrated,1,1,10,self_paced_entropy,30,30,160,validation,0.847457627118644,0.8780487804878049,0.9,0.888888888888889,0.8184210526315789,0.8143450710459553,0.8736842105263158,0.9367942249870829,0.1301794834180812,0.41056454978064094,0.07671546478648396,0.48440288907422296,0.5346521455081013,pr_best_f1,0.888888888888889,validation,0.8305084745762712,0.8571428571428571,0.9,0.8780487804878048,0.7921052631578948,0.7847225456708954,1
phase5,single_calibrated,1,1,10,self_paced_entropy,30,30,160,holdout,0.7297297297297297,0.8260869565217391,0.76,0.7916666666666667,0.7133333333333334,0.7118052168020874,0.8033333333333333,0.9027688379056618,0.17268331374460802,0.5158903452036556,0.15632528594703804,0.3621364188567718,0.5346521455081013,pr_best_f1,0.7916666666666667,validation,0.7432432432432432,0.8297872340425532,0.78,0.8041237113402062,0.7233333333333334,0.7211102550927979,1
phase5,single_calibrated,1,1,10,self_paced_entropy,31,31,165,validation,0.864406779661017,0.9210526315789473,0.875,0.8974358974358975,0.8585526315789473,0.8583950752789521,0.8842105263157894,0.9292062130104137,0.11835386058579701,0.38202573208554946,0.07668150099209374,0.5205663892771537,0.6640341057232553,pr_best_f1,0.8974358974358975,validation,0.8135593220338984,0.8536585365853658,0.875,0.8641975308641976,0.7796052631578947,0.7737468646310083,1
phase5,single_calibrated,1,1,10,self_paced_entropy,31,31,165,holdout,0.7162162162162162,0.8372093023255814,0.72,0.7741935483870969,0.7141666666666666,0.714142842854285,0.8158333333333333,0.9038124346013194,0.17004478723463487,0.5111458345295004,0.15969097341137078,0.5455787121860549,0.6640341057232553,pr_best_f1,0.7741935483870969,validation,0.7567567567567568,0.82,0.82,0.82,0.7224999999999999,0.7158910531638176,1
phase5,single_calibrated,1,1,10,self_paced_entropy,32,32,170,validation,0.8135593220338984,0.8372093023255814,0.9,0.8674698795180723,0.7657894736842106,0.7539370349250519,0.8486842105263158,0.9238877849981731,0.14263697340223339,0.4399380792071922,0.08136528759782384,0.4096239798825332,0.48501375626586524,pr_best_f1,0.8674698795180723,validation,0.7966101694915254,0.8333333333333334,0.875,0.8536585365853658,0.7532894736842105,0.7433919416750281,1
phase5,single_calibrated,1,1,10,self_paced_entropy,32,32,170,holdout,0.7972972972972973,0.8571428571428571,0.84,0.8484848484848485,0.7741666666666667,0.7713624310270756,0.8258333333333333,0.9020024612927693,0.16064912127365927,0.49423169206809325,0.11201076433312981,0.3443087892753641,0.48501375626586524,pr_best_f1,0.8484848484848485,validation,0.7972972972972973,0.8571428571428571,0.84,0.8484848484848485,0.7741666666666667,0.7713624310270756,1
phase5,single_calibrated,1,1,10,self_paced_entropy,33,33,175,validation,0.864406779661017,0.9,0.9,0.9,0.8447368421052632,0.8429272304235246,0.8947368421052632,0.9467160237442336,0.11661839360302494,0.3733706875336222,0.06501080820984056,0.5247260911378089,0.6120448874582815,pr_best_f1,0.9,validation,0.8305084745762712,0.8571428571428571,0.9,0.8780487804878048,0.7921052631578948,0.7847225456708954,1
