initial_label_count,strategy,outer_fold,aulc_f1,terminal_labeled_count,terminal_f1,terminal_pr_auc,terminal_roc_auc,terminal_brier,terminal_ece_10
10,hybrid_mi_diverse,2,0.8301257316677241,110,0.8627450980392156,0.9048500388599612,0.8425,0.14083988437978295,0.11597857198039145
10,hybrid_mi_diverse,3,0.8282376878999732,110,0.8749999999999999,0.8990018133897761,0.8408333333333333,0.14810236787247172,0.1229438960082479
10,hybrid_mi_diverse,4,0.817109130702229,110,0.8131868131868132,0.9167098211327891,0.82,0.15997378742037138,0.10057696420296011
10,hybrid_mi_diverse,5,0.8103303711282999,110,0.8351648351648353,0.9410538606023735,0.8894557823129252,0.12943106246492714,0.10400398103097037
10,oed_logdet,1,0.7629936794671148,110,0.8108108108108109,0.9137593545184197,0.8166666666666667,0.16631805507688205,0.08055380258090004
10,oed_logdet,2,0.8396108335096399,110,0.8599999999999999,0.9283510638245419,0.8533333333333334,0.13881037678374133,0.09506811066413293
10,oed_logdet,3,0.8147119758807555,110,0.8256880733944953,0.8521853021704784,0.7866666666666666,0.16653512174587726,0.06809834936096135
10,oed_logdet,4,0.825161930480493,110,0.8510638297872342,0.922753248510124,0.8426086956521739,0.14725261887151958,0.07422535633576875
10,oed_logdet,5,0.7825932361938824,110,0.8367346938775511,0.8919796409796581,0.8120748299319728,0.16496962136668822,0.13438230959901445
10,predictive_entropy,1,0.8043161093184971,110,0.8440366972477064,0.8912165635920342,0.8066666666666666,0.16239397637073097,0.13898243030023658
10,predictive_entropy,2,0.8210789367570682,110,0.8282828282828283,0.905283624522902,0.8408333333333333,0.1446198721115188,0.059802675445366486
10,predictive_entropy,3,0.8338584356937477,110,0.8807339449541285,0.9192749147582291,0.8683333333333333,0.12981563940438137,0.1078832961566438
10,predictive_entropy,4,0.8272921010204357,110,0.8181818181818181,0.9354598103492496,0.8608695652173913,0.14360780769843237,0.0773502828423583
10,predictive_entropy,5,0.8552139633438294,110,0.8602150537634408,0.9570632431868331,0.9107142857142857,0.12269196730245598,0.0860530984733689
10,random,1,0.7675742682350597,110,0.7500000000000001,0.8660135618577524,0.7791666666666667,0.17118978204294077,0.0879697302949661
10,random,2,0.8314433877449051,110,0.8541666666666666,0.9384442929997914,0.8733333333333333,0.13311762973975483,0.0663698295874595
10,random,3,0.8099196122882646,110,0.8288288288288288,0.8782347105910455,0.79,0.1679615969764664,0.10238634699965213
10,random,4,0.8087904288307166,110,0.8210526315789474,0.910313240734482,0.8295652173913044,0.16152946290571624,0.11887507629711117
10,random,5,0.8142706552087589,110,0.8571428571428571,0.9123751407166472,0.8554421768707483,0.14391569705447307,0.10125065759572036
10,similarity_penalized_mean,1,0.7616376773427947,110,0.8282828282828283,0.8889189569172802,0.785,0.172698032479484,0.06371716757543247
10,similarity_penalized_mean,2,0.8152894945900448,110,0.8305084745762712,0.917269211921054,0.8441666666666666,0.15676451584223627,0.11480282610146997
10,similarity_penalized_mean,3,0.784760771485697,110,0.8166666666666667,0.8094161042408858,0.7025,0.19808401068705125,0.0673110437252814
10,similarity_penalized_mean,4,0.8338304634871188,110,0.8411214953271027,0.9208239923229422,0.8382608695652174,0.15166792352997277,0.06019498680050825
10,similarity_penalized_mean,5,0.8046556147834685,110,0.8349514563106796,0.9399305069771152,0.8554421768707483,0.16015825511436266,0.188013769209505
10,ucb,1,0.7889786103247548,110,0.7878787878787878,0.8662566278711908,0.7366666666666667,0.19164867065275187,0.09801776334175945
10,ucb,2,0.8173903430657399,110,0.8032786885245902,0.8932410453611163,0.8216666666666667,0.1538845535130488,0.11725882692037472
10,ucb,3,0.7777461138716102,110,0.7964601769911505,0.7859736790180246,0.6708333333333333,0.20450408871144782,0.08340275515630967
10,ucb,4,0.8283422976011099,110,0.792079207920792,0.9057958883129027,0.788695652173913,0.17181727262482363,0.078604083549172
10,ucb,5,0.7880337983489692,110,0.8080808080808082,0.9265543732012921,0.8282312925170068,0.18553819874986915,0.19721236540407105
40,cluster_diverse_representative,1,0.7880472218498877,140,0.7777777777777777,0.907954192875748,0.8233333333333334,0.16415528874904867,0.1070434523612836
40,cluster_diverse_representative,2,0.8599044631118686,140,0.8775510204081632,0.9263876473413133,0.8508333333333333,0.13221526740054457,0.08986632741715209
40,cluster_diverse_representative,3,0.8242474458632565,140,0.8380952380952381,0.8380634666719973,0.7958333333333333,0.1637109354866234,0.09485032110324182
40,cluster_diverse_representative,4,0.8049364759284573,140,0.8181818181818181,0.9475429364494734,0.8756521739130435,0.13552319398379492,0.11548605576090433
40,cluster_diverse_representative,5,0.8425299279759791,140,0.8505747126436782,0.960355532815194,0.9056122448979592,0.11668440623800304,0.10738028357857449
40,ensemble_mean,1,0.7851594953788826,140,0.8043478260869565,0.9052119401709335,0.8091666666666667,0.167662805989605,0.09154231043108195
40,ensemble_mean,2,0.8435252395199523,140,0.8627450980392156,0.9417044904772248,0.8733333333333333,0.1375096191881507,0.10442287162144419
40,ensemble_mean,3,0.8070707951474767,140,0.810344827586207,0.8177966508122136,0.745,0.18318221018960298,0.09862080395967862
40,ensemble_mean,4,0.7830565480674724,140,0.8,0.9281507430533891,0.8234782608695652,0.1575209518906958,0.13313753253930782
40,ensemble_mean,5,0.8133720719776066,140,0.845360824742268,0.9358949176552009,0.8630952380952381,0.1381645760377671,0.09102003055883572
