mode,initial_label_count,setup,evaluation_dataset,outer_fold_id,strategy,random_final_F1,strategy_final_F1,final_F1_delta_vs_random,win_vs_random
benchmark,40,ensemble_calibrated,holdout,3,predictive_entropy,0.8543689320388349,0.831858407079646,-0.022510524959188927,False
benchmark,40,ensemble_calibrated,holdout,3,similarity_penalized_mean,0.8543689320388349,0.8141592920353983,-0.04020964000343663,False
benchmark,40,ensemble_calibrated,holdout,3,ucb,0.8543689320388349,0.8173913043478259,-0.036977627691008985,False
benchmark,10,ensemble_calibrated,validation,4,cluster_diverse_representative,0.9,0.891566265060241,-0.008433734939759074,False
benchmark,10,ensemble_calibrated,validation,4,ensemble_mean,0.9,0.888888888888889,-0.011111111111111072,False
benchmark,10,ensemble_calibrated,validation,4,ensemble_mi,0.9,0.8941176470588236,-0.00588235294117645,False
benchmark,10,ensemble_calibrated,validation,4,family_qbc,0.9,0.9382716049382716,0.03827160493827153,True
benchmark,10,ensemble_calibrated,validation,4,hybrid_mi_diverse,0.9,0.9113924050632911,0.011392405063291089,True
benchmark,10,ensemble_calibrated,validation,4,oed_logdet,0.9,0.8974358974358975,-0.002564102564102555,False
benchmark,10,ensemble_calibrated,validation,4,predictive_entropy,0.9,0.9066666666666667,0.00666666666666671,True
benchmark,10,ensemble_calibrated,validation,4,similarity_penalized_mean,0.9,0.8764044943820225,-0.02359550561797752,False
benchmark,10,ensemble_calibrated,validation,4,ucb,0.9,0.8705882352941177,-0.02941176470588236,False
benchmark,10,ensemble_calibrated,holdout,4,cluster_diverse_representative,0.8210526315789474,0.8659793814432989,0.04492674986435152,True
benchmark,10,ensemble_calibrated,holdout,4,ensemble_mean,0.8210526315789474,0.8210526315789474,0.0,False
benchmark,10,ensemble_calibrated,holdout,4,ensemble_mi,0.8210526315789474,0.8155339805825242,-0.0055186509964231245,False
benchmark,10,ensemble_calibrated,holdout,4,family_qbc,0.8210526315789474,0.8659793814432989,0.04492674986435152,True
benchmark,10,ensemble_calibrated,holdout,4,hybrid_mi_diverse,0.8210526315789474,0.8131868131868132,-0.007865818392134183,False
benchmark,10,ensemble_calibrated,holdout,4,oed_logdet,0.8210526315789474,0.8510638297872342,0.030011198208286793,True
benchmark,10,ensemble_calibrated,holdout,4,predictive_entropy,0.8210526315789474,0.8181818181818181,-0.002870813397129246,False
benchmark,10,ensemble_calibrated,holdout,4,similarity_penalized_mean,0.8210526315789474,0.8411214953271027,0.020068863748155308,True
benchmark,10,ensemble_calibrated,holdout,4,ucb,0.8210526315789474,0.792079207920792,-0.02897342365815536,False
benchmark,40,ensemble_calibrated,validation,4,cluster_diverse_representative,0.9135802469135802,0.8974358974358975,-0.01614434947768273,False
benchmark,40,ensemble_calibrated,validation,4,ensemble_mean,0.9135802469135802,0.9024390243902439,-0.01114122252333627,False
benchmark,40,ensemble_calibrated,validation,4,ensemble_mi,0.9135802469135802,0.8974358974358975,-0.01614434947768273,False
benchmark,40,ensemble_calibrated,validation,4,family_qbc,0.9135802469135802,0.9333333333333333,0.019753086419753152,True
benchmark,40,ensemble_calibrated,validation,4,hybrid_mi_diverse,0.9135802469135802,0.8947368421052632,-0.018843404808317032,False
benchmark,40,ensemble_calibrated,validation,4,oed_logdet,0.9135802469135802,0.9210526315789473,0.007472384665367149,True
benchmark,40,ensemble_calibrated,validation,4,predictive_entropy,0.9135802469135802,0.9230769230769231,0.009496676163342932,True
