mode,initial_label_count,setup,strategy,evaluation_dataset,n_repeats,mean_final_F1,std_final_F1,median_final_F1,min_final_F1,max_final_F1,mean_AULC_F1,std_AULC_F1,mean_final_PR_AUC,mean_final_ROC_AUC,mean_final_Brier,mean_final_ECE_10
ablation,40,ensemble_raw,random,holdout,5,0.8261698468539741,0.04111657888334126,0.836734693877551,0.7586206896551724,0.8653846153846153,0.8106398634951759,0.02669495114352159,0.8977202176054933,0.8265387459331558,0.15665374907693086,0.11744522445283137
ablation,40,ensemble_raw,random,validation,5,0.8815532817254482,0.03145808735925908,0.8780487804878048,0.8470588235294118,0.9230769230769231,0.8814377143749079,0.02990915608525887,0.9432141854023307,0.8797368421052632,0.13344464796912908,0.10316199945064923
ablation,40,ensemble_raw,similarity_penalized_mean,holdout,5,0.8109821677782844,0.03777647383023009,0.8034188034188033,0.7727272727272727,0.8737864077669903,0.8088970436347349,0.02202677524365293,0.9163549267890551,0.8413876072167998,0.16629653885751366,0.14823752563656403
ablation,40,ensemble_raw,similarity_penalized_mean,validation,5,0.8727730029177782,0.022682533437354987,0.875,0.8505747126436781,0.9041095890410958,0.8676989027036374,0.023879126492603372,0.9340597568867064,0.8673684210526316,0.1457061772432033,0.14700010078122555
ablation,40,single_calibrated,cluster_diverse_representative,holdout,5,0.8429703134082225,0.015496152593113635,0.8387096774193548,0.8247422680412372,0.8659793814432989,0.8219218356644798,0.014407107856084239,0.8887418995630728,0.8188552203490091,0.1595802723821241,0.10192943887667578
ablation,40,single_calibrated,cluster_diverse_representative,validation,5,0.8830622631996334,0.039547010468772924,0.8831168831168831,0.840909090909091,0.9382716049382716,0.8733872682656812,0.035943902960300644,0.9270059761320926,0.8565789473684211,0.1342517002453908,0.09772213982913863
ablation,40,single_calibrated,ensemble_mean,holdout,5,0.8244306511599154,0.02599441098734927,0.8256880733944953,0.7927927927927928,0.851063829787234,0.8127584861574579,0.021630286747174553,0.9076652017318251,0.824796214137829,0.15836166404187807,0.09693238445705558
ablation,40,single_calibrated,ensemble_mean,validation,5,0.8701179042227961,0.02780820432406772,0.8666666666666667,0.8433734939759036,0.9024390243902439,0.8603961173813894,0.02971242038159534,0.9330217164082354,0.858157894736842,0.14184533071350275,0.10814146834618706
ablation,40,single_calibrated,oed_logdet,holdout,5,0.8188632870583297,0.024037504734114153,0.8131868131868132,0.7999999999999999,0.8599999999999999,0.8191311597384827,0.01992473466685924,0.9064828226408247,0.8280317953268265,0.15749370850244268,0.10307349390524553
ablation,40,single_calibrated,oed_logdet,validation,5,0.8761766375524107,0.0285749011717777,0.8860759493670887,0.8387096774193549,0.9024390243902439,0.8721970315054586,0.02619857014606045,0.9332380746683574,0.8681578947368422,0.13965518751176825,0.12496133858858802
ablation,40,single_calibrated,predictive_entropy,holdout,5,0.851394931245494,0.027859247218551812,0.8351648351648352,0.8256880733944953,0.8865979381443299,0.828198730480786,0.019295638677694595,0.9171464383186964,0.8637931085477671,0.13696552154078787,0.10923289405292394
ablation,40,single_calibrated,predictive_entropy,validation,5,0.8898060014548126,0.03535924226068716,0.875,0.8539325842696629,0.9302325581395349,0.885164301574596,0.030249799752805354,0.9375955489532586,0.8721052631578947,0.1300685315358884,0.10696145294087182
ablation,40,single_calibrated,random,holdout,5,0.8118528621867386,0.04136823051533053,0.8297872340425532,0.7586206896551724,0.8543689320388349,0.8085496150177155,0.02192003234787987,0.8926614183353374,0.8282806861875185,0.15256846530870138,0.10875725621514964
ablation,40,single_calibrated,random,validation,5,0.879308463375974,0.027335046562191358,0.8641975308641976,0.8571428571428571,0.9113924050632911,0.8738335466717885,0.029314170223558023,0.9446052846556132,0.8786842105263158,0.13454332844260616,0.11201251773512902
ablation,40,single_calibrated,similarity_penalized_mean,holdout,5,0.8301330114023614,0.022786145973508226,0.826923076923077,0.8080808080808082,0.8627450980392157,0.8117124088625818,0.025862835007202996,0.9054989409518825,0.8238466430050281,0.15479516013275,0.092309307735409
ablation,40,single_calibrated,similarity_penalized_mean,validation,5,0.8748838179969354,0.028131253565038074,0.891566265060241,0.840909090909091,0.9,0.8594634655579199,0.029383618257824096,0.924683342785326,0.8489473684210527,0.14834126856521096,0.11774567322053779
ablation,40,single_raw,cluster_diverse_representative,holdout,5,0.8439218892119941,0.021858797948834673,0.8490566037735849,0.8125,0.8659793814432989,0.8252060373713366,0.011703381852886198,0.8969270741469659,0.8278149955634427,0.15868475158740616,0.11561261140160409
ablation,40,single_raw,cluster_diverse_representative,validation,5,0.8887211193974501,0.041413022970590185,0.8831168831168831,0.8505747126436781,0.951219512195122,0.872278882755945,0.03192228912802685,0.9271589943268455,0.8557894736842104,0.13994297461767313,0.117233737255052
ablation,40,single_raw,ensemble_mean,holdout,5,0.8189023721182153,0.01967262907090897,0.8256880733944953,0.7927927927927928,0.8399999999999999,0.8135883514748918,0.020841725398836344,0.9067572089957853,0.8216270334220646,0.17870108556350622,0.1506339471162425
ablation,40,single_raw,ensemble_mean,validation,5,0.8742121426884006,0.03358044163500993,0.8666666666666667,0.8433734939759036,0.9176470588235294,0.8622757012072668,0.031048754888796166,0.9333598218099759,0.8642105263157894,0.1521664670533701,0.14278438982822125
ablation,40,single_raw,oed_logdet,holdout,5,0.8444932175800325,0.028094597139724748,0.8453608247422681,0.8,0.8749999999999999,0.8189477159186905,0.019336620966325963,0.9050910657074173,0.8335443655723157,0.15716808434213708,0.12947883880919592
ablation,40,single_raw,oed_logdet,validation,5,0.890076849560766,0.03228635619470199,0.888888888888889,0.8536585365853658,0.9382716049382716,0.8721209124798868,0.02783427191027614,0.9405530722959687,0.8810526315789474,0.13024778999510828,0.1347094700498096
ablation,40,single_raw,predictive_entropy,holdout,5,0.8272532934884719,0.03442094122829786,0.8314606741573033,0.7741935483870969,0.8571428571428572,0.8214109189637553,0.020991431819572613,0.9097728736988117,0.8414034309375925,0.15105721855584556,0.12892448371521073
ablation,40,single_raw,predictive_entropy,validation,5,0.8901302681992338,0.029743823876131344,0.9,0.8533333333333333,0.9195402298850576,0.8825330847436804,0.027237742907442353,0.9374945328863398,0.8776315789473685,0.13027584005352125,0.11386217884087968
ablation,40,single_raw,random,holdout,5,0.8118528621867386,0.04136823051533053,0.8297872340425532,0.7586206896551724,0.8543689320388349,0.808850855171897,0.0222269161535415,0.8926614183353374,0.8282806861875185,0.15480008671779055,0.12650963504588722
ablation,40,single_raw,random,validation,5,0.879308463375974,0.027335046562191358,0.8641975308641976,0.8571428571428571,0.9113924050632911,0.8733127737207855,0.029543530394896475,0.9446052846556132,0.8786842105263158,0.13886501149364533,0.11572359953138789
ablation,40,single_raw,similarity_penalized_mean,holdout,5,0.8346005205270874,0.030634243025909804,0.8264462809917354,0.7959183673469388,0.8775510204081631,0.8141728762084165,0.019768537487220895,0.8995636871233472,0.8258015380065069,0.18102642954893786,0.163360403614689
