mode,setup,outer_fold_id,inner_fold_id,replay_seed_size,initial_label_count,strategy,round_id,probability_type,Brier,ECE_10,MCE_10
ablation,ensemble_raw,2,1,10,10,oed_logdet,12,raw,0.18816974514949827,0.18369338017399023,0.45246707201004027
ablation,ensemble_raw,2,1,10,10,oed_logdet,12,calibrated,0.18351379101702484,0.09729276270433858,0.26466206035092255
ablation,ensemble_raw,2,1,10,10,oed_logdet,13,raw,0.17854900132166227,0.16069609495037696,0.533948689699173
ablation,ensemble_raw,2,1,10,10,oed_logdet,13,calibrated,0.17023325898304717,0.13887754432663488,0.32552845624978344
ablation,ensemble_raw,2,1,10,10,oed_logdet,14,raw,0.1689607773831557,0.12875312309143905,0.3445848544438681
ablation,ensemble_raw,2,1,10,10,oed_logdet,14,calibrated,0.15941212148085177,0.09949739878918834,0.2702437995483923
ablation,ensemble_raw,2,1,10,10,oed_logdet,15,raw,0.16484068590812137,0.10498738180277711,0.6400366440415383
ablation,ensemble_raw,2,1,10,10,oed_logdet,15,calibrated,0.1559706919782071,0.08582464494170369,0.7082155534905751
ablation,ensemble_raw,2,1,10,10,oed_logdet,16,raw,0.16035342238241185,0.13452229615995445,0.4368124082684517
ablation,ensemble_raw,2,1,10,10,oed_logdet,16,calibrated,0.15025134311969787,0.10266900776308877,0.3366966629097963
ablation,ensemble_raw,2,1,10,10,oed_logdet,17,raw,0.1471632947108377,0.13802486837415376,0.3011598368485769
ablation,ensemble_raw,2,1,10,10,oed_logdet,17,calibrated,0.14762355970464716,0.11816578651469395,0.3090883740917845
ablation,ensemble_raw,2,1,10,10,oed_logdet,18,raw,0.15734993825124619,0.08242616491802669,0.4411263942718506
ablation,ensemble_raw,2,1,10,10,oed_logdet,18,calibrated,0.15305867122313538,0.0620407057329328,0.52474852090811
ablation,ensemble_raw,2,1,10,10,oed_logdet,19,raw,0.15659234667540303,0.14033280695646502,0.5975194811820984
ablation,ensemble_raw,2,1,10,10,oed_logdet,19,calibrated,0.1494930443730331,0.05230813078423624,0.21435270895576453
ablation,ensemble_raw,2,1,10,10,oed_logdet,20,raw,0.14559907329728444,0.09025292664261192,0.3334147952497005
ablation,ensemble_raw,2,1,10,10,oed_logdet,20,calibrated,0.14305738221543074,0.07354305115321677,0.277748725865158
ablation,single_calibrated,2,1,10,10,random,0,raw,0.1928641431978574,0.10764639660463496,0.1973433643579483
ablation,single_calibrated,2,1,10,10,random,0,calibrated,0.19192496571943343,0.10503779988989656,0.3187246795122773
ablation,single_calibrated,2,1,10,10,random,1,raw,0.1923179435406769,0.08974509900909362,0.220841184258461
ablation,single_calibrated,2,1,10,10,random,1,calibrated,0.18957150350986363,0.0831876119451073,0.2119375403878972
ablation,single_calibrated,2,1,10,10,random,2,raw,0.1913957074818374,0.07881571882862155,0.12404475714031027
